name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_year 
K2-187 c,1079,3.89 Earths,13.102,2018
K2-182 b,505,7.75 Earths,11.833,2018
K2-183 b,1073,7.27 Earths,12.867,2018
K2-183 c,1073,8.6 Earths,12.867,2018
K2-183 d,1073,8.55 Earths,12.867,2018
K2-184 b,247,2.76 Earths,10.345,2018
K2-185 b,875,1.6 Earths,12.235,2018
K2-185 c,875,6.3 Earths,12.235,2018
K2-186 b,1079,10.2 Earths,12.413,2018
K2-187 b,1079,2.24 Earths,13.102,2018
K2-187 c,1079,3.89 Earths,13.102,2018
K2-187 d,1079,10.2 Earths,13.102,2018
K2-187 e,1079,6.26 Earths,13.102,2018
K2-188 b,1458,2.39 Earths,12.657,2018
K2-188 c,1458,8.4 Earths,12.657,2018
K2-189 b,790,2.92 Earths,12.398,2018
K2-189 c,790,6.8 Earths,12.398,2018
K2-18 b,124,8.92 Earths,13.477,2015
K2-18 c,124,7.51 Earths,13.477,2017
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-187 d,1079,10.2 Earths,13.102,2018
K2-187 e,1079,6.26 Earths,13.102,2018
K2-188 b,1458,2.39 Earths,12.657,2018
K2-188 c,1458,8.4 Earths,12.657,2018
K2-189 b,790,2.92 Earths,12.398,2018
K2-189 c,790,6.8 Earths,12.398,2018
K2-18 b,124,8.92 Earths,13.477,2015
K2-18 c,124,7.51 Earths,13.477,2017
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-187 d,1079,10.2 Earths,13.102,2018
K2-187 e,1079,6.26 Earths,13.102,2018
K2-188 b,1458,2.39 Earths,12.657,2018
K2-188 c,1458,8.4 Earths,12.657,2018
K2-189 b,790,2.92 Earths,12.398,2018
K2-189 c,790,6.8 Earths,12.398,2018
K2-18 b,124,8.92 Earths,13.477,2015
K2-18 c,124,7.51 Earths,13.477,2017
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-187 d,1079,10.2 Earths,13.102,2018
K2-187 e,1079,6.26 Earths,13.102,2018
K2-188 b,1458,2.39 Earths,12.657,2018
K2-188 c,1458,8.4 Earths,12.657,2018
K2-189 b,790,2.92 Earths,12.398,2018
K2-189 c,790,6.8 Earths,12.398,2018
K2-18 b,124,8.92 Earths,13.477,2015
K2-18 c,124,7.51 Earths,13.477,2017
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-187 d,1079,10.2 Earths,13.102,2018
K2-187 e,1079,6.26 Earths,13.102,2018
K2-188 b,1458,2.39 Earths,12.657,2018
K2-188 c,1458,8.4 Earths,12.657,2018
K2-189 b,790,2.92 Earths,12.398,2018
K2-189 c,790,6.8 Earths,12.398,2018
K2-18 b,124,8.92 Earths,13.477,2015
K2-18 c,124,7.51 Earths,13.477,2017
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-187 d,1079,10.2 Earths,13.102,2018
K2-187 e,1079,6.26 Earths,13.102,2018
K2-188 b,1458,2.39 Earths,12.657,2018
K2-188 c,1458,8.4 Earths,12.657,2018
K2-189 b,790,2.92 Earths,12.398,2018
K2-189 c,790,6.8 Earths,12.398,2018
K2-18 b,124,8.92 Earths,13.477,2015
K2-18 c,124,7.51 Earths,13.477,2017
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-187 d,1079,10.2 Earths,13.102,2018
K2-187 e,1079,6.26 Earths,13.102,2018
K2-188 b,1458,2.39 Earths,12.657,2018
K2-188 c,1458,8.4 Earths,12.657,2018
K2-189 b,790,2.92 Earths,12.398,2018
K2-189 c,790,6.8 Earths,12.398,2018
K2-18 b,124,8.92 Earths,13.477,2015
K2-18 c,124,7.51 Earths,13.477,2017
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-187 d,1079,10.2 Earths,13.102,2018
K2-187 e,1079,6.26 Earths,13.102,2018
K2-188 b,1458,2.39 Earths,12.657,2018
K2-188 c,1458,8.4 Earths,12.657,2018
K2-189 b,790,2.92 Earths,12.398,2018
K2-189 c,790,6.8 Earths,12.398,2018
K2-18 b,124,8.92 Earths,13.477,2015
K2-18 c,124,7.51 Earths,13.477,2017
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-198 d,361,6.52 Earths,10.971,2019
K2-199 b,351,4.16 Earths,12.358,2018
K2-199 c,351,8.15 Earths,12.358,2018
K2-19 b,945,28.5 Earths,13.024,2015
K2-19 c,945,7.5 Earths,13.024,2015
K2-19 d,945,14 Earths,13.024,2016
K2-200 b,601,2.43 Earths,12.428,2018
K2-201 b,646,2.54 Earths,12.168,2018
K2-201 c,646,10.8 Earths,12.168,2018
K2-202 b,980,5.91 Earths,13.354,2018
K2-198 d,361,6.52 Earths,10.971,2019
K2-199 b,351,4.16 Earths,12.358,2018
K2-199 c,351,8.15 Earths,12.358,2018
K2-19 b,945,28.5 Earths,13.024,2015
K2-19 c,945,7.5 Earths,13.024,2015
K2-19 d,945,14 Earths,13.024,2016
K2-200 b,601,2.43 Earths,12.428,2018
K2-201 b,646,2.54 Earths,12.168,2018
K2-201 c,646,10.8 Earths,12.168,2018
K2-202 b,980,5.91 Earths,13.354,2018
K2-198 d,361,6.52 Earths,10.971,2019
K2-199 b,351,4.16 Earths,12.358,2018
K2-199 c,351,8.15 Earths,12.358,2018
K2-19 b,945,28.5 Earths,13.024,2015
K2-19 c,945,7.5 Earths,13.024,2015
K2-19 d,945,14 Earths,13.024,2016
K2-200 b,601,2.43 Earths,12.428,2018
K2-201 b,646,2.54 Earths,12.168,2018
K2-201 c,646,10.8 Earths,12.168,2018
K2-202 b,980,5.91 Earths,13.354,2018
K2-198 d,361,6.52 Earths,10.971,2019
K2-199 b,351,4.16 Earths,12.358,2018
K2-199 c,351,8.15 Earths,12.358,2018
K2-19 b,945,28.5 Earths,13.024,2015
K2-19 c,945,7.5 Earths,13.024,2015
K2-19 d,945,14 Earths,13.024,2016
K2-200 b,601,2.43 Earths,12.428,2018
K2-201 b,646,2.54 Earths,12.168,2018
K2-201 c,646,10.8 Earths,12.168,2018
K2-202 b,980,5.91 Earths,13.354,2018
K2-203 b,542,2.45 Earths,12.391,2018
K2-204 b,1883,9.51 Earths,12.985,2018
K2-205 b,1322,4.64 Earths,12.45,2018
K2-206 b,797,8.22 Earths,13.084,2018
K2-207 b,1184,7.3 Earths,13.175,2018
K2-208 b,838,3.46 Earths,12.577,2018
K2-209 b,250,0.586 Earths,11.061,2018
K2-210 b,576,0.474 Earths,11.535,2018
K2-211 b,888,2.46 Earths,13.1547,2018
K2-212 b,356,6.9 Earths,12.977,2018
K2-213 b,1271,2.9 Earths,11.803,2018
K2-214 b,981,6.48 Earths,11.806,2018
K2-215 b,1318,5.16 Earths,12.99,2018
K2-216 b,377,8 Earths,12.403,2018
K2-217 b,1246,12.5 Earths,12.264,2018
K2-218 b,1285,7.13 Earths,12.92,2018
K2-219 b,1061,2.38 Earths,12.09,2018
K2-219 c,1061,2.66 Earths,12.09,2018
K2-219 d,1061,7.16 Earths,12.09,2018
K2-21 b,273,4.04 Earths,12.851,2015
K2-21 c,273,6.76 Earths,12.851,2015
K2-220 b,762,6.3 Earths,11.873,2018
K2-221 b,1040,3.46 Earths,12.571,2018
K2-222 b,331,6.3 Earths,9.543,2018
K2-223 b,648,0.64 Earths,11.443,2018
K2-223 c,648,3.09 Earths,11.443,2018
K2-224 b,898,3.05 Earths,12.7,2018
K2-224 c,898,6.39 Earths,12.7,2018
K2-225 b,1167,12 Earths,11.836,2018
K2-226 b,689,2.99 Earths,12.337,2018
K2-233 d,220,21.14 Earths,10.883,2018
K2-237 b,1028,1.236 Jupiters,11.602,2018
K2-238 b,1755,0.86 Jupiters,13.973,2018
K2-239 b,101,1.37 Earths,14.632,2018
K2-239 c,101,0.972 Earths,14.632,2018
K2-239 d,101,1.37 Earths,14.632,2018
K2-240 b,238,4.66 Earths,13.372,2018
K2-240 c,238,3.89 Earths,13.372,2018
K2-241 b,488,7.04 Earths,11.97,2018
K2-242 b,356,6.99 Earths,16.414,2018
K2-243 b,871,5.35 Earths,10.971,2018
K2-243 c,871,4.7 Earths,10.971,2018
K2-244 b,694,3.71 Earths,11.78,2018
K2-245 b,1488,17.4 Earths,12.755,2018
K2-246 b,2295,12 Earths,14.792,2018
K2-247 b,842,5.14 Earths,14.857,2018
K2-247 c,842,5.43 Earths,14.857,2018
K2-248 b,1325,7.13 Earths,13.497,2018
K2-249 b,1702,8.2 Earths,12.646,2018
K2-24 b,556,19 Earths,11.275,2016
K2-243 b,871,5.35 Earths,10.971,2018
K2-243 c,871,4.7 Earths,10.971,2018
K2-244 b,694,3.71 Earths,11.78,2018
K2-245 b,1488,17.4 Earths,12.755,2018
K2-246 b,2295,12 Earths,14.792,2018
K2-247 b,842,5.14 Earths,14.857,2018
K2-247 c,842,5.43 Earths,14.857,2018
K2-248 b,1325,7.13 Earths,13.497,2018
K2-249 b,1702,8.2 Earths,12.646,2018
K2-24 b,556,19 Earths,11.275,2016
K2-243 b,871,5.35 Earths,10.971,2018
K2-243 c,871,4.7 Earths,10.971,2018
K2-244 b,694,3.71 Earths,11.78,2018
K2-245 b,1488,17.4 Earths,12.755,2018
K2-246 b,2295,12 Earths,14.792,2018
K2-247 b,842,5.14 Earths,14.857,2018
K2-247 c,842,5.43 Earths,14.857,2018
K2-248 b,1325,7.13 Earths,13.497,2018
K2-249 b,1702,8.2 Earths,12.646,2018
K2-24 b,556,19 Earths,11.275,2016
K2-243 b,871,5.35 Earths,10.971,2018
K2-243 c,871,4.7 Earths,10.971,2018
K2-244 b,694,3.71 Earths,11.78,2018
K2-245 b,1488,17.4 Earths,12.755,2018
K2-246 b,2295,12 Earths,14.792,2018
K2-247 b,842,5.14 Earths,14.857,2018
K2-247 c,842,5.43 Earths,14.857,2018
K2-248 b,1325,7.13 Earths,13.497,2018
K2-249 b,1702,8.2 Earths,12.646,2018
K2-24 b,556,19 Earths,11.275,2016
K2-243 b,871,5.35 Earths,10.971,2018
K2-243 c,871,4.7 Earths,10.971,2018
K2-244 b,694,3.71 Earths,11.78,2018
K2-245 b,1488,17.4 Earths,12.755,2018
K2-246 b,2295,12 Earths,14.792,2018
K2-247 b,842,5.14 Earths,14.857,2018
K2-247 c,842,5.43 Earths,14.857,2018
K2-248 b,1325,7.13 Earths,13.497,2018
K2-249 b,1702,8.2 Earths,12.646,2018
K2-24 b,556,19 Earths,11.275,2016
K2-24 c,556,15.4 Earths,11.275,2016
K2-250 b,1353,6.53 Earths,14.314,2018
K2-251 b,480,6.12 Earths,15.66,2018
K2-252 b,746,3.68 Earths,12.93,2018
K2-253 b,2859,Unknown,15.002,2018
K2-254 b,743,3.29 Earths,14.238,2018
K2-254 c,743,5.43 Earths,14.238,2018
K2-255 b,625,8.75 Earths,13.662,2018
K2-256 b,1842,7.41 Earths,14.954,2018
K2-257 b,209,0.498 Earths,13.716,2018
K2-24 c,556,15.4 Earths,11.275,2016
K2-250 b,1353,6.53 Earths,14.314,2018
K2-251 b,480,6.12 Earths,15.66,2018
K2-252 b,746,3.68 Earths,12.93,2018
K2-253 b,2859,Unknown,15.002,2018
K2-254 b,743,3.29 Earths,14.238,2018
K2-254 c,743,5.43 Earths,14.238,2018
K2-255 b,625,8.75 Earths,13.662,2018
K2-256 b,1842,7.41 Earths,14.954,2018
K2-257 b,209,0.498 Earths,13.716,2018
K2-24 c,556,15.4 Earths,11.275,2016
K2-250 b,1353,6.53 Earths,14.314,2018
K2-251 b,480,6.12 Earths,15.66,2018
K2-252 b,746,3.68 Earths,12.93,2018
K2-253 b,2859,Unknown,15.002,2018
K2-254 b,743,3.29 Earths,14.238,2018
K2-254 c,743,5.43 Earths,14.238,2018
K2-255 b,625,8.75 Earths,13.662,2018
K2-256 b,1842,7.41 Earths,14.954,2018
K2-257 b,209,0.498 Earths,13.716,2018
K2-24 c,556,15.4 Earths,11.275,2016
K2-250 b,1353,6.53 Earths,14.314,2018
K2-251 b,480,6.12 Earths,15.66,2018
K2-252 b,746,3.68 Earths,12.93,2018
K2-253 b,2859,Unknown,15.002,2018
K2-254 b,743,3.29 Earths,14.238,2018
K2-254 c,743,5.43 Earths,14.238,2018
K2-255 b,625,8.75 Earths,13.662,2018
K2-256 b,1842,7.41 Earths,14.954,2018
K2-257 b,209,0.498 Earths,13.716,2018
K2-24 c,556,15.4 Earths,11.275,2016
K2-250 b,1353,6.53 Earths,14.314,2018
K2-251 b,480,6.12 Earths,15.66,2018
K2-252 b,746,3.68 Earths,12.93,2018
K2-253 b,2859,Unknown,15.002,2018
K2-254 b,743,3.29 Earths,14.238,2018
K2-254 c,743,5.43 Earths,14.238,2018
K2-255 b,625,8.75 Earths,13.662,2018
K2-256 b,1842,7.41 Earths,14.954,2018
K2-257 b,209,0.498 Earths,13.716,2018
K2-24 c,556,15.4 Earths,11.275,2016
K2-250 b,1353,6.53 Earths,14.314,2018
K2-251 b,480,6.12 Earths,15.66,2018
K2-252 b,746,3.68 Earths,12.93,2018
K2-253 b,2859,Unknown,15.002,2018
K2-254 b,743,3.29 Earths,14.238,2018
K2-254 c,743,5.43 Earths,14.238,2018
K2-255 b,625,8.75 Earths,13.662,2018
K2-256 b,1842,7.41 Earths,14.954,2018
K2-257 b,209,0.498 Earths,13.716,2018
K2-266 c,253,0.29013 Earths,11.625,2018
K2-266 d,253,8.9 Earths,11.625,2018
K2-266 e,253,14.3 Earths,11.625,2018
K2-268 b,1069,2.86 Earths,13.848,2018
K2-268 c,1069,7.7 Earths,13.848,2018
K2-268 d,1069,2.83 Earths,13.848,2019
K2-268 e,1069,2.33 Earths,13.848,2019
K2-268 f,1069,5.6 Earths,13.848,2019
K2-269 b,1177,3.09 Earths,11.784,2018
K2-26 b,323,7.61 Earths,14.528,2016
K2-266 c,253,0.29013 Earths,11.625,2018
K2-266 d,253,8.9 Earths,11.625,2018
K2-266 e,253,14.3 Earths,11.625,2018
K2-268 b,1069,2.86 Earths,13.848,2018
K2-268 c,1069,7.7 Earths,13.848,2018
K2-268 d,1069,2.83 Earths,13.848,2019
K2-268 e,1069,2.33 Earths,13.848,2019
K2-268 f,1069,5.6 Earths,13.848,2019
K2-269 b,1177,3.09 Earths,11.784,2018
K2-26 b,323,7.61 Earths,14.528,2016
K2-278 b,2565,9.17 Earths,13.446,2018
K2-279 b,597,1.92 Earths,11.491,2018
K2-27 b,814,30.9 Earths,12.689,2016
K2-280 b,1277,37.1 Earths,12.524,2018
K2-281 b,1494,0.16 Jupiters,15.048,2018
K2-282 b,1619,8.35 Earths,14.21,2018
K2-283 b,1314,12.2 Earths,14.364,2018
K2-284 b,350,8.15 Earths,13.265,2018
K2-285 b,505,9.68 Earths,12.075,2018
K2-285 c,505,15.68 Earths,12.075,2018
K2-278 b,2565,9.17 Earths,13.446,2018
K2-279 b,597,1.92 Earths,11.491,2018
K2-27 b,814,30.9 Earths,12.689,2016
K2-280 b,1277,37.1 Earths,12.524,2018
K2-281 b,1494,0.16 Jupiters,15.048,2018
K2-282 b,1619,8.35 Earths,14.21,2018
K2-283 b,1314,12.2 Earths,14.364,2018
K2-284 b,350,8.15 Earths,13.265,2018
K2-285 b,505,9.68 Earths,12.075,2018
K2-285 c,505,15.68 Earths,12.075,2018
K2-278 b,2565,9.17 Earths,13.446,2018
K2-279 b,597,1.92 Earths,11.491,2018
K2-27 b,814,30.9 Earths,12.689,2016
K2-280 b,1277,37.1 Earths,12.524,2018
K2-281 b,1494,0.16 Jupiters,15.048,2018
K2-282 b,1619,8.35 Earths,14.21,2018
K2-283 b,1314,12.2 Earths,14.364,2018
K2-284 b,350,8.15 Earths,13.265,2018
K2-285 b,505,9.68 Earths,12.075,2018
K2-285 c,505,15.68 Earths,12.075,2018
K2-278 b,2565,9.17 Earths,13.446,2018
K2-279 b,597,1.92 Earths,11.491,2018
K2-27 b,814,30.9 Earths,12.689,2016
K2-280 b,1277,37.1 Earths,12.524,2018
K2-281 b,1494,0.16 Jupiters,15.048,2018
K2-282 b,1619,8.35 Earths,14.21,2018
K2-283 b,1314,12.2 Earths,14.364,2018
K2-284 b,350,8.15 Earths,13.265,2018
K2-285 b,505,9.68 Earths,12.075,2018
K2-285 c,505,15.68 Earths,12.075,2018
K2-278 b,2565,9.17 Earths,13.446,2018
K2-279 b,597,1.92 Earths,11.491,2018
K2-27 b,814,30.9 Earths,12.689,2016
K2-280 b,1277,37.1 Earths,12.524,2018
K2-281 b,1494,0.16 Jupiters,15.048,2018
K2-282 b,1619,8.35 Earths,14.21,2018
K2-283 b,1314,12.2 Earths,14.364,2018
K2-284 b,350,8.15 Earths,13.265,2018
K2-285 b,505,9.68 Earths,12.075,2018
K2-285 c,505,15.68 Earths,12.075,2018
K2-278 b,2565,9.17 Earths,13.446,2018
K2-279 b,597,1.92 Earths,11.491,2018
K2-27 b,814,30.9 Earths,12.689,2016
K2-280 b,1277,37.1 Earths,12.524,2018
K2-281 b,1494,0.16 Jupiters,15.048,2018
K2-282 b,1619,8.35 Earths,14.21,2018
K2-283 b,1314,12.2 Earths,14.364,2018
K2-284 b,350,8.15 Earths,13.265,2018
K2-285 b,505,9.68 Earths,12.075,2018
K2-285 c,505,15.68 Earths,12.075,2018
K2-285 d,505,6.5 Earths,12.075,2018
K2-285 e,505,10.7 Earths,12.075,2018
K2-286 b,248,5.06 Earths,12.881,2018
K2-287 b,516,0.315 Jupiters,11.41,2018
K2-288 B b,214,4.27 Earths,13.868,2018
K2-289 b,895,0.192 Jupiters,14.81,2019
K2-28 b,205,5.99 Earths,16.526,2016
K2-290 b,890,10.9 Earths,11.114,2019
K2-290 c,890,0.774 Jupiters,11.114,2019
K2-291 b,294,6.49 Earths,10.014,2019
K2-292 b,373,24.5 Earths,9.885,2019
K2-293 b,1280,6.57 Earths,13.44,2019
K2-294 b,1217,3.39 Earths,12.649,2019
K2-295 b,759,0.335 Jupiters,13.8941,2018
K2-29 b,582,0.73 Jupiters,12.532,2016
K2-308 b,4288,0.222 Jupiters,15.072,2019
K2-30 b,1086,0.579 Jupiters,13.547,2016
K2-315 b,186,0.809 Earths,17.67,2020
K2-316 b,367,2.33 Earths,17.14,2020
K2-316 c,367,4.01 Earths,17.14,2020
K2-292 b,373,24.5 Earths,9.885,2019
K2-293 b,1280,6.57 Earths,13.44,2019
K2-294 b,1217,3.39 Earths,12.649,2019
K2-295 b,759,0.335 Jupiters,13.8941,2018
K2-29 b,582,0.73 Jupiters,12.532,2016
K2-308 b,4288,0.222 Jupiters,15.072,2019
K2-30 b,1086,0.579 Jupiters,13.547,2016
K2-315 b,186,0.809 Earths,17.67,2020
K2-316 b,367,2.33 Earths,17.14,2020
K2-316 c,367,4.01 Earths,17.14,2020
K2-292 b,373,24.5 Earths,9.885,2019
K2-293 b,1280,6.57 Earths,13.44,2019
K2-294 b,1217,3.39 Earths,12.649,2019
K2-295 b,759,0.335 Jupiters,13.8941,2018
K2-29 b,582,0.73 Jupiters,12.532,2016
K2-308 b,4288,0.222 Jupiters,15.072,2019
K2-30 b,1086,0.579 Jupiters,13.547,2016
K2-315 b,186,0.809 Earths,17.67,2020
K2-316 b,367,2.33 Earths,17.14,2020
K2-316 c,367,4.01 Earths,17.14,2020
K2-292 b,373,24.5 Earths,9.885,2019
K2-293 b,1280,6.57 Earths,13.44,2019
K2-294 b,1217,3.39 Earths,12.649,2019
K2-295 b,759,0.335 Jupiters,13.8941,2018
K2-29 b,582,0.73 Jupiters,12.532,2016
K2-308 b,4288,0.222 Jupiters,15.072,2019
K2-30 b,1086,0.579 Jupiters,13.547,2016
K2-315 b,186,0.809 Earths,17.67,2020
K2-316 b,367,2.33 Earths,17.14,2020
K2-316 c,367,4.01 Earths,17.14,2020
K2-292 b,373,24.5 Earths,9.885,2019
K2-293 b,1280,6.57 Earths,13.44,2019
K2-294 b,1217,3.39 Earths,12.649,2019
K2-295 b,759,0.335 Jupiters,13.8941,2018
K2-29 b,582,0.73 Jupiters,12.532,2016
K2-308 b,4288,0.222 Jupiters,15.072,2019
K2-30 b,1086,0.579 Jupiters,13.547,2016
K2-315 b,186,0.809 Earths,17.67,2020
K2-316 b,367,2.33 Earths,17.14,2020
K2-316 c,367,4.01 Earths,17.14,2020
K2-342 b,680,4.78 Earths,11.338,2018
K2-343 b,542,3.36 Earths,16.01,2019
K2-343 c,542,4.74 Earths,16.01,2018
K2-344 b,245,3.15 Earths,13.423,2018
K2-345 b,530,5.1 Earths,15.72,2016
K2-346 b,344,5.73 Earths,11.903,2016
K2-347 b,1045,6.39 Earths,15.15,2016
K2-348 b,658,10.7 Earths,12.572,2018
K2-348 c,658,7.61 Earths,12.572,2018
K2-349 b,1480,2.48 Earths,14.585,2016
K2-342 b,680,4.78 Earths,11.338,2018
K2-343 b,542,3.36 Earths,16.01,2019
K2-343 c,542,4.74 Earths,16.01,2018
K2-344 b,245,3.15 Earths,13.423,2018
K2-345 b,530,5.1 Earths,15.72,2016
K2-346 b,344,5.73 Earths,11.903,2016
K2-347 b,1045,6.39 Earths,15.15,2016
K2-348 b,658,10.7 Earths,12.572,2018
K2-348 c,658,7.61 Earths,12.572,2018
K2-349 b,1480,2.48 Earths,14.585,2016
K2-342 b,680,4.78 Earths,11.338,2018
K2-343 b,542,3.36 Earths,16.01,2019
K2-343 c,542,4.74 Earths,16.01,2018
K2-344 b,245,3.15 Earths,13.423,2018
K2-345 b,530,5.1 Earths,15.72,2016
K2-346 b,344,5.73 Earths,11.903,2016
K2-347 b,1045,6.39 Earths,15.15,2016
K2-348 b,658,10.7 Earths,12.572,2018
K2-348 c,658,7.61 Earths,12.572,2018
K2-349 b,1480,2.48 Earths,14.585,2016
K2-34 b,1137,1.698 Jupiters,11.447,2016
K2-350 b,1596,2.99 Earths,13.449,2021
K2-350 c,1596,7.95 Earths,13.449,2016
K2-351 b,2266,6.99 Earths,14.195,2016
K2-352 b,574,2.45 Earths,11.125,2021
K2-352 c,574,4.35 Earths,11.125,2018
K2-352 d,574,5.6 Earths,11.125,2018
K2-353 b,876,26.3 Earths,12.337,2021
K2-354 b,299,3.05 Earths,15.296,2016
K2-355 b,1633,5.69 Earths,13.707,2021
K2-34 b,1137,1.698 Jupiters,11.447,2016
K2-350 b,1596,2.99 Earths,13.449,2021
K2-350 c,1596,7.95 Earths,13.449,2016
K2-351 b,2266,6.99 Earths,14.195,2016
K2-352 b,574,2.45 Earths,11.125,2021
K2-352 c,574,4.35 Earths,11.125,2018
K2-352 d,574,5.6 Earths,11.125,2018
K2-353 b,876,26.3 Earths,12.337,2021
K2-354 b,299,3.05 Earths,15.296,2016
K2-355 b,1633,5.69 Earths,13.707,2021
K2-34 b,1137,1.698 Jupiters,11.447,2016
K2-350 b,1596,2.99 Earths,13.449,2021
K2-350 c,1596,7.95 Earths,13.449,2016
K2-351 b,2266,6.99 Earths,14.195,2016
K2-352 b,574,2.45 Earths,11.125,2021
K2-352 c,574,4.35 Earths,11.125,2018
K2-352 d,574,5.6 Earths,11.125,2018
K2-353 b,876,26.3 Earths,12.337,2021
K2-354 b,299,3.05 Earths,15.296,2016
K2-355 b,1633,5.69 Earths,13.707,2021
K2-34 b,1137,1.698 Jupiters,11.447,2016
K2-350 b,1596,2.99 Earths,13.449,2021
K2-350 c,1596,7.95 Earths,13.449,2016
K2-351 b,2266,6.99 Earths,14.195,2016
K2-352 b,574,2.45 Earths,11.125,2021
K2-352 c,574,4.35 Earths,11.125,2018
K2-352 d,574,5.6 Earths,11.125,2018
K2-353 b,876,26.3 Earths,12.337,2021
K2-354 b,299,3.05 Earths,15.296,2016
K2-355 b,1633,5.69 Earths,13.707,2021
K2-34 b,1137,1.698 Jupiters,11.447,2016
K2-350 b,1596,2.99 Earths,13.449,2021
K2-350 c,1596,7.95 Earths,13.449,2016
K2-351 b,2266,6.99 Earths,14.195,2016
K2-352 b,574,2.45 Earths,11.125,2021
K2-352 c,574,4.35 Earths,11.125,2018
K2-352 d,574,5.6 Earths,11.125,2018
K2-353 b,876,26.3 Earths,12.337,2021
K2-354 b,299,3.05 Earths,15.296,2016
K2-355 b,1633,5.69 Earths,13.707,2021
K2-34 b,1137,1.698 Jupiters,11.447,2016
K2-350 b,1596,2.99 Earths,13.449,2021
K2-350 c,1596,7.95 Earths,13.449,2016
K2-351 b,2266,6.99 Earths,14.195,2016
K2-352 b,574,2.45 Earths,11.125,2021
K2-352 c,574,4.35 Earths,11.125,2018
K2-352 d,574,5.6 Earths,11.125,2018
K2-353 b,876,26.3 Earths,12.337,2021
K2-354 b,299,3.05 Earths,15.296,2016
K2-355 b,1633,5.69 Earths,13.707,2021
K2-34 b,1137,1.698 Jupiters,11.447,2016
K2-350 b,1596,2.99 Earths,13.449,2021
K2-350 c,1596,7.95 Earths,13.449,2016
K2-351 b,2266,6.99 Earths,14.195,2016
K2-352 b,574,2.45 Earths,11.125,2021
K2-352 c,574,4.35 Earths,11.125,2018
K2-352 d,574,5.6 Earths,11.125,2018
K2-353 b,876,26.3 Earths,12.337,2021
K2-354 b,299,3.05 Earths,15.296,2016
K2-355 b,1633,5.69 Earths,13.707,2021
K2-34 b,1137,1.698 Jupiters,11.447,2016
K2-350 b,1596,2.99 Earths,13.449,2021
K2-350 c,1596,7.95 Earths,13.449,2016
K2-351 b,2266,6.99 Earths,14.195,2016
K2-352 b,574,2.45 Earths,11.125,2021
K2-352 c,574,4.35 Earths,11.125,2018
K2-352 d,574,5.6 Earths,11.125,2018
K2-353 b,876,26.3 Earths,12.337,2021
K2-354 b,299,3.05 Earths,15.296,2016
K2-355 b,1633,5.69 Earths,13.707,2021
K2-34 b,1137,1.698 Jupiters,11.447,2016
K2-350 b,1596,2.99 Earths,13.449,2021
K2-350 c,1596,7.95 Earths,13.449,2016
K2-351 b,2266,6.99 Earths,14.195,2016
K2-352 b,574,2.45 Earths,11.125,2021
K2-352 c,574,4.35 Earths,11.125,2018
K2-352 d,574,5.6 Earths,11.125,2018
K2-353 b,876,26.3 Earths,12.337,2021
K2-354 b,299,3.05 Earths,15.296,2016
K2-355 b,1633,5.69 Earths,13.707,2021
K2-356 b,1160,5.86 Earths,13.268,2021
K2-357 b,1689,13.4 Earths,13.748,2021
K2-358 b,1567,7.65 Earths,13.699,2021
K2-35 b,824,2.3 Earths,14.166,2016
K2-35 c,824,4.38 Earths,14.166,2016
K2-36 b,358,3.9 Earths,11.726,2016
K2-36 c,358,7.8 Earths,11.726,2016
K2-37 b,587,3.22 Earths,12.573,2016
K2-37 c,587,8 Earths,12.573,2016
K2-37 d,587,7.9 Earths,12.573,2016
K2-356 b,1160,5.86 Earths,13.268,2021
K2-357 b,1689,13.4 Earths,13.748,2021
K2-358 b,1567,7.65 Earths,13.699,2021
K2-35 b,824,2.3 Earths,14.166,2016
K2-35 c,824,4.38 Earths,14.166,2016
K2-36 b,358,3.9 Earths,11.726,2016
K2-36 c,358,7.8 Earths,11.726,2016
K2-37 b,587,3.22 Earths,12.573,2016
K2-37 c,587,8 Earths,12.573,2016
K2-37 d,587,7.9 Earths,12.573,2016
K2-45 b,1616,36.4 Earths,15.746,2016
K2-46 b,1465,4.86 Earths,12.144,2016
K2-47 b,1141,4.23 Earths,14.065,2016
K2-48 b,1023,5.65 Earths,14.345,2016
K2-49 b,1491,4.38 Earths,15.668,2016
K2-4 b,756,5.06 Earths,14.855,2015
K2-50 b,840,3.15 Earths,14.705,2016
K2-52 b,3387,144 Jupiters,15.93,2016
K2-53 b,450,7.27 Earths,12.634,2016
K2-54 b,571,1.6 Earths,14.542,2016
